ID,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex,Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker,Creditability,AgeGroup,Duration of credit,Credit Amount Group
151,Negative,48,existing  credits paid back duly till now,domestic appliances,3051,poor,1 to 4 years,moderate,male,single,0,more than 7 years,saving,54,none,own,1,skilled,0,0,1,Bad,Old.Adult,more than 2 year,middle
152,Negative,21,other bank,new car,571,poor,more than 7 years,most,male,single,0,more than 7 years,property,65,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
153,Negative,18,existing  credits paid back duly till now,furniture/equipment,1345,poor,1 to 4 years,most,male,married,0,4 to 7 years,property,26,none,own,1,skilled,0,0,1,Bad,Adult,within 2 year,less than 2k
154,Negative,15,existing  credits paid back duly till now,business,806,poor,1 to 4 years,most,female,married,0,more than 7 years,insurance,22,none,own,1,unskilled,0,0,1,Good,Youth,within 2 year,less than 2k
155,rich,4,existing  credits paid back duly till now,new car,1494,none,less than 1  year,less,male,single,0,1 to 4 years,property,29,none,own,1,unskilled,1,0,0,Good,Adult,within 1 year,less than 2k
156,poor,21,other bank,business,3652,poor,4 to 7 years,moderate,male,single,0,4 to 7 years,insurance,27,none,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,middle
157,rich,10,existing  credits paid back duly till now,new car,1240,moderate,more than 7 years,less,female,married,0,more than 7 years,none,48,none,free,1,unskilled,1,0,1,Bad,Old.Adult,within 1 year,less than 2k
158,no account,6,delay history,furniture/equipment,935,poor,1 to 4 years,moderate,female,married,0,1 to 4 years,property,24,none,own,1,skilled,0,0,1,Good,Youth,within 1 year,less than 2k
159,Negative,9,other bank,repairs,1288,moderate,more than 7 years,moderate,male,single,1,more than 7 years,property,48,none,own,more than 1,skilled,1,0,0,Good,Old.Adult,within 1 year,less than 2k
160,no account,24,existing  credits paid back duly till now,furniture/equipment,3235,moderate,more than 7 years,moderate,male,single,0,1 to 4 years,saving,36,none,own,1,office,0,1,1,Good,Old.Adult,more than 2 year,middle
161,poor,27,no credits taken/ all credits paid back duly,business,8318,poor,more than 7 years,moderate,female,married,0,more than 7 years,none,42,stores,free,more than 1,office,0,1,1,Bad,Old.Adult,more than 2 year,middle
162,no account,24,other bank,furniture/equipment,5150,poor,more than 7 years,most,male,single,0,more than 7 years,saving,33,none,own,1,skilled,0,1,1,Good,Adult,more than 2 year,middle
163,poor,6,existing  credits paid back duly till now,furniture/equipment,2063,poor,less than 1  year,most,male,married,0,4 to 7 years,saving,30,none,rent,1,office,0,1,1,Good,Adult,within 1 year,middle
164,Negative,30,other bank,used car,10623,poor,more than 7 years,moderate,male,single,0,more than 7 years,none,38,none,free,more than 1,office,1,1,1,Good,Old.Adult,more than 2 year,more than 10k
165,rich,24,existing  credits paid back duly till now,furniture/equipment,5152,poor,4 to 7 years,most,male,single,0,1 to 4 years,saving,25,bank,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
166,no account,12,existing  credits paid back duly till now,furniture/equipment,804,poor,more than 7 years,most,male,single,0,more than 7 years,saving,38,none,own,1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
167,no account,9,existing  credits paid back duly till now,furniture/equipment,2301,moderate,less than 1  year,moderate,female,married,0,more than 7 years,insurance,22,none,rent,1,skilled,0,0,1,Good,Youth,within 1 year,middle
