variable,RFE ranking
Foreign Worker,1
Account Balance_Negative,1
Account Balance_no account,1
Account Balance_poor,1
Purpose_education,1
Purpose_new car,1
Purpose_used car ,1
Value Savings/Stocks_none,1
Value Savings/Stocks_poor,1
Value Savings/Stocks_rich,1
Payment Status of Previous Credit_no history,1
Length of current employment_less than 1 year,1
Length of current employment_4 to 7 years,1
Duration in Current address_less than 1 year,1
Most valuable availble asset_none,1
Most valuable availble asset_property,1
Concurrent Credits_bank,1
Type of apartment_own,1
Type of apartment_rent,1
